question,answer,category
What is the minimum eligibility criteria for B.Tech admission?,"Candidates must have passed 10+2 with Physics, Chemistry, and Mathematics with a minimum aggregate of 45% (40% for reserved categories)",eligibility
Is there an entrance exam required for admission?,"Yes, admission is generally through UPSEE/AKTU counselling or a valid JEE Main score, followed by institute-level counselling",eligibility
What is the last date to submit the application form?,The last date for form submission is typically announced on the official admission portal; check the notice board for the current cycle's deadline,deadlines
Can I apply after the deadline has passed?,"Late applications are only accepted with a late fee if seats remain vacant, subject to management discretion",deadlines
What documents are required for admission?,"You need your 10th and 12th mark sheets, transfer certificate, character certificate, category certificate (if applicable), and passport-size photographs",documents
Do I need to submit an income certificate?,An income certificate is required only if you are applying for a fee concession or scholarship under a reserved category,documents
What is the total course fee for B.Tech?,The fee structure varies by branch and is published on the official fee structure page each academic year,fees
Are there any scholarships available?,"Yes, scholarships are available under state government schemes for eligible categories, and merit-based fee waivers for top-ranking students",fees
How do I apply for an internship under the program?,Fill out the online internship application form on the official portal and upload your resume and academic transcripts,application_process
What is the selection process for internships?,Selection is based on resume screening followed by a technical or HR interview round depending on the role,application_process
Can I defer my admission to the next academic year?,"Deferral is allowed only in exceptional circumstances and requires written approval from the admission committee",eligibility
Is hostel accommodation available for outstation students?,"Yes, hostel accommodation is available on a first-come-first-served basis; apply separately through the hostel admission form",documents
What is the refund policy if I withdraw after admission?,"Refunds follow the AICTE-prescribed fee refund policy based on the date of withdrawal request",fees
Who do I contact for admission-related queries?,You can contact the admission cell via the official email or phone number listed on the institute's contact page,application_process
What is the duration of the internship program?,Most internship programs run for 6 to 12 weeks depending on the track selected,application_process
